candidate_id,target_job_role,education_level,degree_field,years_of_experience,num_projects,num_certifications,num_internships,technical_skills_count,relevant_skills_count,required_skills_count,skill_match_percentage,soft_skills_count,project_relevance_score,experience_relevance_score,education_relevance_score,resume_quality_score,ats_score,keyword_match_percentage,overall_resume_score,job_readiness_score,experience_level,missing_skills_count,job_readiness,shortlisted
C00064,Machine Learning Engineer,Bachelor's,Mathematics,1,6,1,1,7,3,6,48.33,6,47.37,30.9,80.37,61.04,50.97,53.25,52.47,42.71,Junior,3,Not Ready,0
C00065,Machine Learning Engineer,Diploma,Data Science,6,5,0,1,9,4,6,65.86,5,67.47,55.54,83.62,58.62,55.17,66.04,59.67,63.23,Mid-Level,2,Beginner,0
C00066,Cybersecurity Analyst,Bachelor's,Computer Science,7,3,0,1,8,5,6,83.36,5,72.69,68.51,85.67,60.36,80.53,75.81,73.05,66.62,Mid-Level,1,Beginner,1
C00067,Product Designer,Bachelor's,Design,11,10,1,0,7,5,6,82.87,10,82.06,81.3,94.41,83.95,77.79,79.9,84.96,81.0,Senior,1,Intermediate,1
C00068,UI/UX Designer,Bachelor's,Information Technology,7,7,4,1,4,3,6,45.25,4,45.0,53.88,67.16,75.43,52.88,48.6,59.22,45.95,Mid-Level,3,Not Ready,0
C00069,Java Developer,Master's,Computer Science,6,3,4,1,4,4,6,64.05,9,51.42,56.36,97.43,86.19,78.19,67.45,76.31,61.72,Mid-Level,2,Beginner,0
C00070,Product Designer,Master's,Design,1,3,4,2,5,3,6,47.08,2,36.92,27.3,96.81,71.74,63.23,55.19,58.34,46.88,Junior,3,Not Ready,0
C00071,DevOps Engineer,Bachelor's,Information Technology,6,7,2,1,5,4,6,65.76,5,64.67,52.65,89.36,82.68,76.74,65.54,75.34,63.28,Mid-Level,2,Beginner,0
C00072,Frontend Developer,Master's,Information Technology,11,10,0,0,7,4,6,64.35,2,69.0,71.54,100.0,79.23,75.66,72.17,75.7,63.03,Senior,2,Beginner,0
C00073,Mobile App Developer,Diploma,Electronics,3,10,5,1,2,2,6,34.1,4,38.05,33.7,40.54,79.78,47.67,38.34,47.32,43.88,Mid-Level,4,Not Ready,0
C00074,Cybersecurity Analyst,Bachelor's,Electronics,2,6,2,2,7,3,6,46.75,6,55.63,29.65,69.19,68.3,48.12,47.73,53.59,41.27,Junior,3,Not Ready,0
C00075,DevOps Engineer,Bachelor's,Information Technology,11,11,3,0,5,5,6,81.89,3,86.67,82.51,87.97,88.62,87.2,87.6,87.0,77.1,Senior,1,Intermediate,0
C00076,Cybersecurity Analyst,Bachelor's,Electronics,4,5,2,1,9,3,6,49.96,9,49.05,43.2,68.34,63.21,48.46,54.89,53.7,49.97,Mid-Level,3,Not Ready,0
C00077,Frontend Developer,Bachelor's,Electronics,0,3,3,2,2,1,6,18.61,7,14.19,19.02,50.9,56.97,40.63,22.65,39.7,26.16,Fresher,5,Not Ready,0
C00078,Data Analyst,Bachelor's,Business,3,6,0,1,10,4,6,69.73,4,64.87,44.23,71.92,59.49,65.47,64.9,65.43,61.95,Mid-Level,2,Beginner,0
C00079,Mobile App Developer,Master's,Other,4,8,3,0,8,2,6,34.01,2,45.31,38.16,35.34,78.76,58.7,47.67,54.79,40.71,Mid-Level,4,Not Ready,0
C00080,Java Developer,Master's,Information Technology,14,12,0,1,13,5,6,78.7,9,86.21,76.62,97.3,78.23,81.66,77.01,82.22,70.5,Senior,1,Beginner,0
C00081,Machine Learning Engineer,Bachelor's,Mathematics,6,5,5,0,6,4,6,67.93,9,67.01,52.75,81.16,73.89,76.23,64.33,72.79,66.82,Mid-Level,2,Beginner,1
C00082,Product Designer,Master's,Other,2,6,5,2,3,1,6,19.34,2,20.76,26.34,39.8,87.98,54.54,35.75,47.9,31.56,Junior,5,Not Ready,0
C00083,QA Engineer,Bachelor's,Computer Science,0,0,2,0,8,2,6,31.21,2,5.93,11.05,72.34,48.29,45.84,33.9,39.53,31.37,Fresher,4,Not Ready,0
C00084,Data Analyst,Master's,Business,1,2,0,0,6,2,6,32.51,6,35.73,23.53,84.45,61.31,38.7,43.18,43.5,39.5,Junior,4,Not Ready,0
C00085,Data Scientist,Bachelor's,Information Technology,10,6,0,0,13,5,6,80.1,5,71.19,83.84,76.86,71.6,69.63,83.09,77.9,74.88,Senior,1,Beginner,1
C00086,Backend Developer,Bachelor's,Information Technology,3,7,4,0,13,5,6,85.29,6,71.63,41.71,93.16,72.58,80.8,83.68,75.72,67.03,Mid-Level,1,Beginner,0
C00087,Data Scientist,Bachelor's,Data Science,4,6,3,0,6,5,6,87.89,5,81.46,52.28,98.1,74.81,76.05,84.36,76.58,71.86,Mid-Level,1,Beginner,1
C00088,Machine Learning Engineer,Bachelor's,Data Science,3,9,5,0,9,4,6,68.5,3,60.05,40.39,98.51,82.69,75.65,74.58,71.71,66.62,Mid-Level,2,Beginner,1
C00089,Product Designer,Bachelor's,Business,9,8,1,1,10,5,6,84.92,2,84.28,79.75,73.67,83.89,87.67,86.51,84.16,79.11,Senior,1,Intermediate,1
C00090,Cybersecurity Analyst,Master's,Business,4,4,0,1,3,2,6,36.59,5,26.73,39.31,58.35,61.57,51.67,44.91,49.24,32.5,Mid-Level,4,Not Ready,0
C00091,Java Developer,Bachelor's,Other,7,3,2,1,11,3,6,47.6,10,46.64,55.93,30.4,64.71,58.62,51.43,56.94,45.71,Mid-Level,3,Not Ready,1
C00092,Backend Developer,Master's,Computer Science,9,9,4,1,10,5,6,85.21,8,73.25,79.87,98.01,87.08,87.27,84.04,87.4,75.87,Senior,1,Intermediate,1
C00093,Machine Learning Engineer,PhD,Other,3,9,2,0,3,3,6,46.3,5,57.63,30.33,45.25,81.18,60.07,55.98,57.06,44.6,Mid-Level,3,Not Ready,0
C00094,QA Engineer,PhD,Information Technology,10,15,5,0,9,5,6,79.97,5,91.38,78.19,96.94,98.32,90.2,85.18,87.18,87.07,Senior,1,Intermediate,1
C00095,DevOps Engineer,Bachelor's,Other,5,5,3,1,4,2,6,34.72,9,32.53,45.26,27.74,72.55,56.16,39.58,48.7,34.85,Mid-Level,4,Not Ready,0
C00096,Mobile App Developer,Bachelor's,Electronics,5,10,5,0,9,2,6,38.02,2,36.64,44.17,53.69,91.83,65.06,51.39,61.48,43.17,Mid-Level,4,Not Ready,0
C00097,Backend Developer,Master's,Software Engineering,8,12,2,1,11,5,6,83.15,10,78.54,73.28,96.25,86.88,79.85,83.81,80.47,76.81,Senior,1,Intermediate,1
C00098,Data Analyst,Master's,Computer Science,9,14,5,0,9,5,6,78.45,5,79.83,74.75,93.92,100.0,83.74,84.71,88.31,81.21,Senior,1,Intermediate,1
C00099,Data Analyst,Bachelor's,Data Science,1,1,4,2,4,3,6,54.87,5,35.78,29.06,94.99,68.24,61.17,52.64,58.89,51.49,Junior,3,Beginner,0
C00100,QA Engineer,Bachelor's,Computer Science,6,8,5,0,7,3,6,48.97,10,46.12,51.05,75.68,90.81,60.91,54.01,63.02,55.89,Mid-Level,3,Beginner,0
C00101,Product Designer,Diploma,Other,0,3,2,2,4,0,6,0.41,7,7.84,27.85,23.71,55.33,19.81,14.54,22.92,19.16,Fresher,6,Not Ready,0
C00102,Mobile App Developer,Master's,Information Technology,13,5,1,0,7,5,6,83.6,6,77.87,78.22,95.82,76.45,75.29,85.89,78.47,80.04,Senior,1,Intermediate,1
C00103,Full Stack Developer,Bachelor's,Software Engineering,2,2,3,1,5,4,7,57.12,8,49.6,30.28,97.19,72.94,71.05,61.79,62.74,56.81,Junior,3,Beginner,0
C00104,Python Developer,Diploma,Information Technology,1,5,5,2,8,3,6,53.68,7,51.13,26.92,82.43,61.53,54.76,60.13,52.02,55.29,Junior,3,Beginner,0
C00105,Python Developer,Bachelor's,Data Science,7,10,5,1,9,4,6,70.4,8,74.74,59.11,84.22,91.98,85.63,71.82,80.03,72.74,Mid-Level,2,Beginner,1
C00106,Machine Learning Engineer,Diploma,Mathematics,3,3,0,0,6,5,6,80.13,4,66.97,40.04,74.71,54.67,69.82,72.51,66.86,60.49,Mid-Level,1,Beginner,0
C00107,Backend Developer,Bachelor's,Software Engineering,8,15,1,1,10,4,6,65.58,9,80.84,66.14,92.58,77.2,74.6,64.21,76.34,67.01,Senior,2,Beginner,0
C00108,Java Developer,Diploma,Computer Science,0,3,2,1,9,3,6,48.37,2,49.76,16.22,79.31,52.37,53.28,45.84,46.88,39.51,Fresher,3,Not Ready,0
C00109,UI/UX Designer,Bachelor's,Computer Science,8,13,1,0,6,5,6,86.39,8,87.53,69.75,73.68,73.79,77.67,79.44,77.48,78.38,Senior,1,Intermediate,0
C00110,Cybersecurity Analyst,Diploma,Information Technology,1,2,2,1,12,4,6,64.83,2,56.45,26.15,80.42,58.29,69.65,58.57,62.87,56.03,Junior,2,Beginner,1
C00111,Full Stack Developer,Bachelor's,Information Technology,5,3,2,0,12,5,7,73.1,10,55.88,50.01,85.3,71.27,67.6,74.47,71.84,57.92,Mid-Level,2,Beginner,1
C00112,Machine Learning Engineer,Bachelor's,Mathematics,2,1,3,0,5,3,6,51.93,7,46.91,33.74,84.45,63.45,58.42,57.92,57.38,45.87,Junior,3,Not Ready,0
C00113,DevOps Engineer,Bachelor's,Software Engineering,11,13,0,1,9,5,6,84.92,2,84.47,79.28,91.51,82.53,91.95,79.92,88.76,77.02,Senior,1,Intermediate,1
C00114,Cloud Engineer,Master's,Information Technology,13,5,3,1,12,5,6,87.12,10,72.63,85.88,98.27,91.43,93.04,90.96,90.22,85.17,Senior,1,Intermediate,1
C00115,Mobile App Developer,Bachelor's,Computer Science,9,11,3,1,9,5,6,82.0,2,81.51,75.32,91.95,86.68,79.67,81.67,80.94,72.77,Senior,1,Beginner,0
C00116,Java Developer,Bachelor's,Software Engineering,1,4,0,1,6,3,6,48.8,8,51.81,26.58,95.19,49.91,46.7,47.82,49.25,46.05,Junior,3,Not Ready,0
C00117,Mobile App Developer,Bachelor's,Software Engineering,10,15,4,1,9,5,6,85.51,2,93.96,80.44,90.18,84.12,87.32,89.22,83.78,87.22,Senior,1,Intermediate,0
C00118,Python Developer,Master's,Information Technology,1,6,5,2,5,3,6,49.86,5,45.11,25.05,97.85,85.35,64.68,55.07,64.18,54.38,Junior,3,Beginner,0
C00119,Backend Developer,Bachelor's,Computer Science,7,3,4,0,8,4,6,68.48,7,52.74,62.74,90.25,70.71,70.45,66.49,73.62,65.43,Mid-Level,2,Beginner,1
C00120,Cybersecurity Analyst,Bachelor's,Computer Science,10,6,3,1,13,5,6,87.85,2,77.29,88.37,93.19,78.65,79.56,87.12,83.56,84.27,Senior,1,Intermediate,0
C00121,Python Developer,Bachelor's,Information Technology,8,6,3,1,13,5,6,81.08,7,80.83,72.3,89.24,73.53,80.04,79.09,78.95,72.52,Senior,1,Beginner,0
C00122,Cybersecurity Analyst,Master's,Computer Science,11,11,1,0,5,4,6,61.9,10,72.1,73.32,100.0,83.71,68.88,67.21,74.6,71.26,Senior,2,Beginner,1
C00123,Mobile App Developer,Bachelor's,Information Technology,8,7,4,0,13,5,6,85.51,7,80.25,68.63,94.91,78.17,86.16,84.82,80.89,74.63,Senior,1,Beginner,1
C00124,Machine Learning Engineer,Master's,Data Science,2,4,3,0,4,3,6,47.27,2,43.68,31.12,95.69,66.08,59.6,48.37,57.71,53.27,Junior,3,Beginner,0
C00125,Data Analyst,Bachelor's,Computer Science,12,7,5,1,6,5,6,85.03,9,85.07,83.84,86.62,94.19,88.14,82.46,88.45,87.5,Senior,1,Intermediate,1
C00126,Java Developer,Bachelor's,Computer Science,3,9,0,1,4,4,6,62.63,3,66.04,37.51,92.56,70.64,70.56,68.51,64.25,56.03,Mid-Level,2,Beginner,0
C00127,UI/UX Designer,PhD,Other,6,8,4,0,3,3,6,53.42,9,52.34,46.52,46.24,97.08,64.93,65.41,67.15,54.63,Mid-Level,3,Beginner,0
C00128,Data Analyst,Bachelor's,Computer Science,2,3,4,2,4,3,6,45.88,2,51.49,28.69,85.54,67.85,53.82,51.28,54.84,53.05,Junior,3,Beginner,0
C00129,Cloud Engineer,PhD,Software Engineering,6,6,2,0,8,4,6,70.97,2,56.2,55.23,100.0,90.05,84.49,77.85,81.4,64.49,Mid-Level,2,Beginner,0
C00130,Java Developer,Bachelor's,Computer Science,3,4,1,1,5,4,6,65.13,5,66.94,42.86,91.41,57.62,67.92,67.85,63.16,60.54,Mid-Level,2,Beginner,1
C00131,UI/UX Designer,Bachelor's,Computer Science,7,6,4,0,3,3,6,46.46,4,46.88,47.99,65.68,75.66,65.55,52.8,63.48,51.29,Mid-Level,3,Beginner,0
C00132,QA Engineer,Bachelor's,Information Technology,3,6,0,1,10,4,6,68.07,2,57.79,41.84,81.2,57.93,57.0,68.85,59.91,50.71,Mid-Level,2,Beginner,0
C00133,Full Stack Developer,Diploma,Software Engineering,7,3,5,1,10,6,7,83.11,10,67.35,63.95,81.21,63.62,78.38,74.83,74.05,78.67,Mid-Level,1,Intermediate,0
C00134,Full Stack Developer,Bachelor's,Information Technology,5,6,3,1,7,5,7,71.7,7,64.96,55.38,86.31,74.7,68.01,70.98,70.02,68.44,Mid-Level,2,Beginner,0
C00135,Python Developer,Master's,Computer Science,3,7,1,1,8,4,6,66.48,9,56.14,42.56,97.6,67.19,67.33,63.77,63.47,56.15,Mid-Level,2,Beginner,0
C00136,Cybersecurity Analyst,Master's,Other,6,9,1,0,10,2,6,29.43,8,40.93,46.16,39.54,74.07,47.1,34.86,47.48,39.59,Mid-Level,4,Not Ready,0
C00137,Frontend Developer,Bachelor's,Information Technology,2,3,2,1,3,3,6,52.85,2,50.77,34.97,94.55,60.55,58.94,53.77,56.31,55.17,Junior,3,Beginner,0
C00138,DevOps Engineer,Master's,Information Technology,12,8,0,0,13,5,6,84.93,2,84.99,84.36,100.0,75.07,81.28,79.46,84.4,78.41,Senior,1,Intermediate,0
C00139,Frontend Developer,Diploma,Computer Science,6,5,1,1,12,4,6,62.39,9,53.97,58.15,75.12,63.3,60.4,60.54,61.86,59.76,Mid-Level,2,Beginner,0
C00140,Full Stack Developer,Bachelor's,Computer Science,0,2,1,3,8,2,7,30.17,6,30.09,10.52,87.65,49.31,45.32,31.96,43.16,34.48,Fresher,5,Not Ready,0
C00141,Backend Developer,Bachelor's,Computer Science,8,15,0,0,12,5,6,86.08,3,88.97,67.99,90.3,84.5,90.23,83.69,87.31,77.35,Senior,1,Intermediate,1
C00142,UI/UX Designer,Master's,Information Technology,14,14,1,0,10,5,6,79.61,10,84.08,78.07,79.28,85.95,81.06,80.28,81.97,78.63,Senior,1,Intermediate,0
C00143,Java Developer,Diploma,Computer Science,1,1,1,2,9,4,6,68.12,9,51.41,33.88,83.16,51.54,68.2,62.33,61.89,55.07,Junior,2,Beginner,0
C00144,Full Stack Developer,Master's,Software Engineering,5,3,2,1,8,5,7,68.2,7,62.36,54.83,100.0,65.69,61.84,64.02,68.51,66.24,Mid-Level,2,Beginner,0
C00145,QA Engineer,Bachelor's,Business,8,15,0,1,13,5,6,83.76,4,88.11,69.64,60.08,78.04,84.49,86.35,78.84,74.56,Senior,1,Beginner,1
C00146,Machine Learning Engineer,Bachelor's,Data Science,12,8,5,1,11,5,6,85.6,4,86.54,82.53,90.99,96.8,85.34,88.39,89.81,84.23,Senior,1,Intermediate,1
C00147,UI/UX Designer,Bachelor's,Information Technology,11,14,2,1,4,4,6,61.72,8,77.51,75.23,60.35,81.24,76.86,64.3,71.24,62.24,Senior,2,Beginner,1
C00148,Machine Learning Engineer,Master's,Other,14,11,1,1,11,3,6,49.49,9,60.05,68.2,48.86,86.26,62.8,58.8,61.77,55.0,Senior,3,Beginner,0
C00149,Data Analyst,Master's,Data Science,7,5,5,1,5,4,6,66.48,7,63.11,60.73,95.65,88.98,76.45,72.01,77.71,71.64,Mid-Level,2,Beginner,0
C00150,Python Developer,Master's,Software Engineering,1,5,4,1,6,3,6,45.59,9,44.85,28.28,100.0,80.62,59.87,51.99,58.65,48.32,Junior,3,Not Ready,0
C00151,Data Scientist,Diploma,Data Science,7,9,3,0,7,4,6,69.02,10,74.81,62.27,89.33,71.74,72.29,72.42,69.25,67.26,Mid-Level,2,Beginner,1
